Sample in Buffer,Sample in Window,TRIGGER,s_start_conv3,sready_conv3_1,s_out_conv3tb[26:0]
611,611,0,1,1,001111011100011111100101001
612,612,0,1,1,001111011111111101000010001
613,613,0,1,1,001111100011011110111010100
614,614,0,1,1,001111100111010110101100111
615,615,0,1,1,001111101010000111110001110
616,616,0,1,1,001111101100011001101101110
617,617,0,1,1,001111101101001111001100011
618,618,0,1,1,001111100110111001111110100
619,619,0,1,1,001111011011101010100111010
620,620,0,1,1,000000000000000000000000000
621,621,0,1,1,000000000000000000000000000
622,622,0,1,1,000000000000000000000000000
623,623,0,1,1,000000000000000000000000000
624,624,0,1,1,000000000000000000000000000
625,625,0,1,1,000000000000000000000000000
626,626,0,1,1,000000000000000000000000000
627,627,0,1,1,000000000000000000000000000
628,628,0,1,1,000000000000000000000000000
629,629,0,1,1,000000000000000000000000000
630,630,0,1,1,000000000000000000000000000
631,631,0,1,1,000000000000000000000000000
632,632,0,1,1,000000000000000000000000000
633,633,0,1,1,000000000000000000000000000
634,634,0,1,1,000000000000000000000000000
635,635,0,1,1,000000000000000000000000000
636,636,0,1,1,001111011000001110001110011
637,637,0,1,1,001111100011100110100110011
638,638,0,1,1,001111101001001101000001000
639,639,0,1,1,001111101100001010001100011
640,640,0,1,1,001111101110001010101010100
641,641,0,1,1,001111101110100000100101001
642,642,0,1,1,001111101101101110001101101
643,643,0,1,1,001111101100000010101100110
644,644,0,1,1,001111101001101000110110011
645,645,0,1,1,001111100100111110101111111
646,646,0,1,1,001111011110111111111011110
647,647,0,1,1,001111010010000101101010100
648,648,0,1,1,001111000101110010010101000
649,649,0,1,1,001111010000111011100001011
650,650,0,1,1,001111100011000111101111011
651,651,0,1,1,001111100110011101001111111
652,652,0,1,1,001111100101110011110110110
653,653,0,1,1,001111100011110001110111001
654,654,0,1,1,001111100011000001101100010
655,655,0,1,1,001111100010010010111110011
656,656,0,1,1,001111100001101001111010000
657,657,0,1,1,001111100001011001001110000
658,658,0,1,1,001111100000011010101001000
659,659,0,1,1,001111011110111000100100111
660,660,0,1,1,001111011101000010001101001
661,661,0,1,1,001111011100101011011111011
662,662,0,1,1,001111011101011000001000111
663,663,0,1,1,001111100000010101110111001
664,664,0,1,1,001111100001101011111110010
665,665,0,1,1,001111100100101100110010011
666,666,0,1,1,001111100111010011100000000
667,667,0,1,1,001111101000011011001101001
668,668,0,1,1,001111101000110100001001101
669,669,0,1,1,001111101001010101111100100
670,670,0,1,1,001111101001110101101101000
671,671,0,1,1,001111101010110011010101010
672,672,0,1,1,001111101011110111101001100
673,673,0,1,1,001111101100101010111110011
674,674,0,1,1,001111101100110100010010010
675,675,0,1,1,001111101100100000110111011
676,676,0,1,1,001111101100010110110001101
677,677,0,1,1,001111101011101001010101001
678,678,0,1,1,001111100110111110011100111
679,679,0,1,1,001111100000001100111111011
680,680,0,1,1,001111010010010100001111001
681,681,0,1,1,001111100011110010101011010
682,682,0,1,1,001111100110111000000100101
683,683,0,1,1,001111101000001101101011010
684,684,0,1,1,001111101000001011111010001
685,685,0,1,1,001111101000010101000111000
686,686,0,1,1,001111101000010010110001010
687,687,0,1,1,001111100111111101000110000
